년,월,국적지역,체류외국인수
2022,05,핀란드,449
2022,05,필리핀,49296
2022,05,한국계중국인,606442
2022,05,헝가리,269
2022,05,홍콩,2577
2022,05,홍콩거주난민,15
2022,06,가나,1415
2022,06,가봉,94
2022,06,가이아나,5
2022,06,감비아,127
2022,06,과테말라,128
2022,06,교황청,2
2022,06,국적불명,1
2022,06,국제연합,55
2022,06,그레나다,2
2022,06,그리스,316
2022,06,기니,270
2022,06,기니비사우,23
2022,06,나미비아,1
2022,06,나우루,6
2022,06,나이지리아,2831
2022,06,남수단공화국,26
2022,06,남아프리카공화국,3224
2022,06,네덜란드,1491
2022,06,네팔,39971
2022,06,노르웨이,569
2022,06,뉴질랜드,4018
2022,06,니제르,9
2022,06,니카라과,50
2022,06,덴마크,542
2022,06,도미니카공화국,112
2022,06,도미니카연방,21
2022,06,독일,5870
2022,06,라오스,2339
2022,06,라이베리아,523
2022,06,라트비아,87
2022,06,러시아(연방),51271
2022,06,레바논,63
2022,06,레소토,7
2022,06,루마니아,366
2022,06,룩셈부르크,30
2022,06,르완다,274
2022,06,리비아,762
2022,06,리투아니아,183
2022,06,마다가스카르,30
2022,06,마샬군도,13
2022,06,마카오,110
2022,06,말라위,36
